Such Music|Doge|The Wow Collection|7|1
Roadhouse Blues|The Doors|La Woman|20|2
Pew Pew|Scifi|Lasers|25|9
I Like Big Nuts|Sir Fix A Lot|Fixin Things|79|10
Infinite Jest|DFW|Stories That Are Too Long|89|11
Bertha|Grateful Dead|Terrapin Falls|5|12
Powerhouse|Mitochondria|Stuck In A Cell|87|13
Grave Digger|DMB|Dmb Live|9|14
Brunch And Brooklyn|Hipster|Midwestern Poems|45|15
Ain't Thinking About You|Chris Brown|Fan Of A Fan|90|16
Swing Life Away|Rise Against|Siren Song Of The Counter Culture|1|17
Can't Be Saved|Senses Fail|Still Searching|79|18
It's Gonna Be OKAY|The Piano Guys|UNCHARTED|34|19
Where Is The Love?|The Black Eyed Peas|Elephunk|53|20
Long After You're Gone|Chris Jones|Moonstruck & No Looking Back|45|21
Another Day In Paradise|Phil Collins|...But Seriously|83|22
You'll Be In My Heart|Phil Collins|Tarzan|74|23
Patience|Damian Marley|Distant Relatives|51|24
Welcome To Jamrock|Damian Marley|Welcome To Jamrock|56|25
Testify|Rage Against The Machine|The Battle Of Los Angeles|51|26
Lithium|Nirvana|Nevermind|48|27
Myself, I, And Me|E-Gazy|Not Dark Out|100|28
Facts B|NYC Huggen|Timbs Are My World|38|29
Lendrick Kamar|Love Your Ethnicity|Section.81|61|30
The Finishing Paragraph|Last Second Student|Finals Week|20|31
Robots Ate My Code|The Sad Programmers|Random Access Music|11|36
Overheated Hardware|The Sad Programmers|Random Access Music|82|37
Recursive Thoughts|The Sad Programmers|Random Access Music|79|38
I Forgot A Semicolon|The Sad Programmers|Not Compiling|71|39
Grinding For EXP|The Rpgs|Leveling Up|67|43
Boss Fight|The Rpgs|Leveling Up|57|44
Poison Damage|The Rpgs|Barely Surviving|36|45
Low HP|The Rpgs|Barely Surviving|25|46
Level 100 Monster|The Rpgs|Barely Surviving|42|47
BORK BORK|Kuro The Eskie|Kuro's Top Hit|58|48
WHERE'S MY BONE|Kuro The Eskie|Kuro's Top Hit|19|49
Will Dogemum Ever Come Back|Kuro The Eskie|Kuro's Top Hit|100|50
BORK I KNOW THIS HOOMAN BORK|Kuro The Eskie|Kuro's Top Hit|70|51
Sometimes I Steal Dirty Toilet Paper|Kuro The Eskie|Kuro's Top Hit|89|53
I Peed In Our Neighbor's Fruit Garden|Kuro The Eskie|Kuro's Top Hit|28|54
Touch My Tummy|Kuro The Eskie|Kuro's Top Hit|86|55
Party Animal|Mayday|Opus 9|2|58
What If We Had Never Met|Mayday|Opus 9|0|59
Love Song|Fish Leong|Fall In Love & Songs|76|60
No If|Fish Leong|Fall In Love & Songs|72|61
The Key|JJ Lin|From M.E. To Myself|83|62
The Dark Knight|JJ Lin|Stories Untold|62|63
Lion Heart|Girl's Generation|Lion Heart|0|64
Mr Taxi|Girl's Generation|The Boys|66|65
Gee|Girl's Generation|Oh!|31|66
Day By Day|T-Ara|Treasure Box|100|67
Come Together|The Beatles|Abbey Road|20|70
Otherside|Red Hot Chili Peppers|Californication|53|74
Accidentally In Love|Counting Crows|Shrek Soundtrack|44|75
All Star|Smash Mouth|Shrek Soundtrack|12|76
I'm A Believer|Smash Mouth|Shrek Soundtrack|1|77
Sandstorm|Darude|Before The Storm|41|78
Time|Pink Floyd|The Wall|55|79
Ruby Tuesday|The Rolling Stones|Between The Buttons|89|80
Teenager|Camera Obscura|Teenager|38|81
Walk On The Wild Side|Lou Reed|Between Thought And Expression|54|82
Plastic|Moses Sumney|Mid-City Island|59|83
Our House|Madness|Total Madness|66|84
Radio Ga Ga|Queen|The Works|46|85
Ashes To Ashes|David Bowie|Scary Monsters|57|86
Like A Prayer|Modanna|Celebration|48|87
Clever Title 1|Clever Artist|Clever Album|37|88
Clever Title 7|Clever Artist|Clever Album|22|94
Clever Title 8|Clever Artist|Clever Album|89|95
Clever Title 9|Clever Artist|Clever Album|92|96
Clever Title 10|Clever Artist|Clever Album|78|97
You Lyin?|Boyfriend's Girlfriend|Onto You|97|98
Forget It|Boyfriend's Girlfriend|Moving On|60|99
Who's That?|Boyfriend's Girlfriend|Onto You|10|100
The Nya Song|Kitty Lovers|Nyaaa|54|101
You Crazy As F|Girlfriend’s Boyfriend|Reasons|75|102
Let Me Breathe!|Girlfriends's Boyfriend|Reasons|67|103
Gonna Go Now|Bumblebee|Chocobo|51|107
Give Me Your Money|Optimus Prime|Chocobo|88|108
You Will Fail|Sylvia Plath|Mog|84|109
Never More|Edgar Allen Poe|Mog|7|111
Gonna Be Lost|Hurley Reyes|4815162342|78|112
Let Me Go|Sun Hwa Kwon|4815162342|15|113
You Left|Jack Shephard|4815162342|62|114
Down The Rabbit Hole|Kate Austen|4815162342|36|115
Complicated|Big O|Night Thoughts|33|116
Lazy Loading|Bill String|Do It Yourself|57|120
Pile Of Papers|Bill String|Now Or Never|17|121
Simultaneously|Nupul Kukreja|Elements|6|122
Let Me Go|Dovid Bawie|Day Thoughts|62|123
Ultimate Showdown|Ultratron|Day Thoughts|27|124
Love|Love Song Artist|Unique Songs|92|125
Our House|The House|The Houses|66|130
Plastic|Pylvia Slath|Onto You|7|131
Sandstorm|The Rolling Stones|We Get The Job Done|59|132
Constant Time|Big O|We Get The Job Done|78|133
The Logarithms of Life|Big O|We Get The Job Done|25|134
A Different Clever Title 2|Another Clever Artist|Clever Album|10|136
A Different Clever Title 3|Another Clever Artist|Clever Album|18|137
