Nerd Out|5|9
Pew Pew|Scifi|Lasers
Powerhouse|Mitochondria|Stuck In A Cell
That One Thing You Forgot|Last Second Student|Insomnia
I Forgot A Semicolon|The Sad Programmers|Not Compiling
Best Of The Best|Big O|Night Thoughts
Pile Of Papers|Bill String|Now Or Never
Constant Time|Big O|We Get The Job Done
Don't Push Me Back|The Sad Programmers|Life Structures
The Finishing Paragraph|Last Second Student|Finals Week
Exciting|4|15
Such Music|Doge|The Wow Collection
Bertha|Grateful Dead|Terrapin Falls
All Nighter|Last Second Student|Insomnia
Level 100 Monster|The Rpgs|Barely Surviving
I'm A Believer|Smash Mouth|Shrek Soundtrack
Radio Ga Ga|Queen|The Works
Lazy Loading|Bill String|Do It Yourself
Our House|The House|The Houses
Constant Time|Big O|We Get The Job Done
Ashes To Ashes|David Bowie|Scary Monsters
Here Comes The Sun|The Beatles|Abbey Road
BORK I KNOW THIS HOOMAN BORK|Kuro The Eskie|Kuro's Top Hit
Long After You're Gone|Chris Jones|Moonstruck & No Looking Back
Infinite Jest|DFW|Stories That Are Too Long
Shaken Not Stirred|Bond|Spectre Dreaming
Dance Music|3|8
Welcome To Jamrock|Damian Marley|Welcome To Jamrock
I Peed On The Fedex Guy|Kuro The Eskie|Kuro's Top Hit
Day By Day|T-Ara|Treasure Box
Our House|Madness|Total Madness
I Forgot A Semicolon|The Sad Programmers|Not Compiling
Clever Title 3|Clever Artist|Clever Album
Our House|The House|The Houses
A Different Clever Title 2|Another Clever Artist|Clever Album
Lovie Dovie|3|10
Ain't Thinking About You|Chris Brown|Fan Of A Fan
Where Is The Love?|The Black Eyed Peas|Elephunk
Another Day In Paradise|Phil Collins|...But Seriously
You'll Be In My Heart|Phil Collins|Tarzan
Recursive Thoughts|The Sad Programmers|Random Access Music
Oh! Darling|The Beatles|Abbey Road
Let Me Go|Dovid Bawie|Day Thoughts
The Logarithms of Life|Big O|We Get The Job Done
Gonna Go Now|Bumblebee|Chocobo
You Lyin?|Boyfriend's Girlfriend|Onto You
Politics As Usual|1|8
Swing Life Away|Rise Against|Siren Song Of The Counter Culture
It's Gonna Be OKAY|The Piano Guys|UNCHARTED
No More Homework|Last Second Student|Finals Week
Clever Title 3|Clever Artist|Clever Album
Give Me Your Money|Optimus Prime|Chocobo
Pile Of Papers|Bill String|Now Or Never
Let Me Go|Dovid Bawie|Day Thoughts
What It Means?|Big O|Night Thoughts
Not Sure Yet|1|0
The Sadz|5|8
Roadhouse Blues|The Doors|La Woman
Where Is The Bug?|The Sad Programmers|Not Compiling
I Lost The Key To Your Map|The Sad Programmers|Life Structures
Accidentally In Love|Counting Crows|Shrek Soundtrack
Let Me Go|Sun Hwa Kwon|4815162342
Let Me Go|Dovid Bawie|Day Thoughts
The Logarithms of Life|Big O|We Get The Job Done
Never More|Edgar Allen Poe|Mog
Calm Down|1|1
Let Me Breathe!|Girlfriends's Boyfriend|Reasons
The Radz|3|6
Day At The Pond|Thoreau|Walden
Shaken Not Stirred|Bond|Spectre Dreaming
I Lost The Key To Your Map|The Sad Programmers|Life Structures
Poison Damage|The Rpgs|Barely Surviving
Clever Title 3|Clever Artist|Clever Album
Plastic|Moses Sumney|Mid-City Island
All Time Favorites|5|6
Such Music|Doge|The Wow Collection
Myself, I, And Me|E-Gazy|Not Dark Out
The Finishing Paragraph|Last Second Student|Finals Week
Clever Title 8|Clever Artist|Clever Album
You Lyin?|Boyfriend's Girlfriend|Onto You
A Different Clever Title 5|Another Clever Artist|Clever Album
